Codi_centre;Denominació_completa;Nom_naturalesa;Nom_municipi
08075441;Waldorf-Steiner Krisol;Privat;Premià de Dalt
08075451;Institut de Formació Professional d'Enoturisme de Catalunya;Públic;Vilafranca del Penedès
08075463;Escola de Dansa i Expressió Dell'Arte;Privat;Igualada
08075475;Cenafe Mataró;Privat;Mataró
08075505;Richmond International School;Privat;Sant Pere de Ribes
08075529;Escola Bressol Nemomarlin Passeig Maragall;Privat;Barcelona
08075530;Cenafe Badalona;Privat;Badalona
08075542;Esc. de Música de Sant Vicenç dels Horts;Privat;Sant Vicenç dels Horts
08075554;Escola Bressol municipal Petit Univers;Públic;Barcelona
08075578;Campus de Formació;Privat;Barcelona
08075581;The Olive Tree School;Privat;Sant Pere de Ribes
